City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,cape canaveral,28.4058,-80.6048,22.27,91,0,3.6,US,1734404972
117,niemodlin,50.642,17.6193,7.92,40,100,7.6,PL,1734405041
118,miles city,46.4083,-105.8406,-2.46,74,0,3.09,US,1734404977
119,kalaleh,37.3807,55.4916,4.67,46,100,3.43,IR,1734405043
120,arraial do cabo,-22.9661,-42.0278,22.91,95,45,2.21,BR,1734404955
121,axim,4.8699,-2.2405,26.26,82,3,1.21,GH,1734405026
122,chonchi,-42.6128,-73.8092,13.95,99,100,1.31,CL,1734405047
123,novopskov,49.5464,39.0899,2.25,79,75,8.61,UA,1734405048
124,freetown,8.484,-13.2299,25.42,82,91,1.24,SL,1734405049
125,suratgarh,29.3167,73.9,12.07,17,0,2.68,IN,1734405050
126,tshabong,-26.05,22.45,21.26,20,1,3.58,BW,1734405051
127,atbasar,51.8,68.3333,-10.78,80,98,7.69,KZ,1734405053
128,pariaman,-0.619,100.12,30.03,66,100,1.14,ID,1734405054
129,tamanrasset,22.785,5.5228,10.88,25,0,4.79,DZ,1734405055
130,nantucket,41.2835,-70.0995,8.06,93,20,8.73,US,1734405056
131,newnham,-41.3833,147.1333,20.53,42,20,10.8,AU,1734405057
132,gazli,40.1333,63.45,-2.02,74,100,6.54,UZ,1734405058
133,alotau,-10.3069,150.4462,30.43,71,100,2.08,PG,1734405060
134,tazovsky,67.4667,78.7,-24.53,93,42,5.38,RU,1734405061
135,tabou,4.423,-7.3528,25.56,85,0,0.99,CI,1734405062
136,tolanaro,-25.0319,46.9987,22.81,75,19,4.17,MG,1734405063
137,chebba,35.2372,11.115,15.95,54,78,6.48,TN,1734405064
138,turabah,21.2141,41.6331,11.09,42,6,2.66,SA,1734405065
139,wabag,-5.4781,143.7021,18.22,83,99,1.67,PG,1734405067
140,greymouth,-42.4667,171.2,17.97,48,0,3.03,NZ,1734405068
141,qala i naw,34.9874,63.1289,3.2,22,34,3.11,AF,1734405069
142,laojunmiao,39.8333,97.7333,-13.14,66,100,1.51,CN,1734405070
143,ilulissat,69.2167,-51.1,-8.99,57,40,9.77,GL,1734405071
144,san fernando,15.0286,120.6898,29.85,60,73,4.01,PH,1734404989
145,diego de almagro,-26.3667,-70.05,18.18,46,0,0.64,CL,1734405073
146,wenchang,30.904,118.4887,10.11,39,17,1.1,CN,1734405075
147,tura,25.5198,90.2201,20.52,39,0,0.18,IN,1734405076
148,kangaba,11.9333,-8.4167,19.55,16,3,2.68,ML,1734404833
149,tongchuanshi,35.0806,109.0897,3.87,24,0,2.54,CN,1734405078
150,tvoroyri,61.5556,-6.8111,7.15,71,100,6.85,FO,1734405079
151,nar'yan-mar,67.6713,53.087,-23.7,93,30,3.13,RU,1734405080
152,hamlin,43.3031,-77.9211,7.88,79,100,2.68,US,1734405082
153,thompson,55.7435,-97.8558,-16.85,89,100,2.08,CA,1734405083
154,pacific grove,36.6177,-121.9166,12.99,94,100,1.34,US,1734405084
155,daru,-9.0763,143.2092,30.56,69,99,4.73,PG,1734405085
156,talnakh,69.4865,88.3972,-17.78,96,100,6.1,RU,1734405086
157,nemuro,43.3236,145.575,-2.54,47,2,6.2,JP,1734405087
158,nova vicosa,-17.8919,-39.3719,25.14,89,100,1.9,BR,1734405089
159,stonehaven,56.9637,-2.2118,11.29,84,100,5.06,GB,1734405090
160,riyadh,24.6877,46.7219,9.36,15,20,0.87,SA,1734405091
